ItemID,Category,Price,Popularity
1,Books,30.25,0.04437666353323677
2,Clothing,13.72,0.8621276172654506
3,Electronics,42.66,0.7352126545234527
4,Clothing,29.95,0.4084532130706987
5,Books,32.57,0.08104621590764793
6,Home,81.23,0.10946886005445389
7,Home,5.81,0.5924077846595176
8,Clothing,21.43,0.5713189419195741
9,Clothing,57.5,0.7339099189537017
10,Books,35.38,0.8681608040515469
11,Home,49.91,0.6974714616692836
12,Clothing,42.68,0.105834093828584
13,Books,23.94,0.8808707591989284
14,Clothing,42.11,0.46547000876998357
15,Clothing,27.52,0.7435082562916078
16,Clothing,21.83,0.8179670241190622
17,Sports,29.58,0.2870381331749128
18,Books,33.17,0.9811861780274235
19,Electronics,28.74,0.009072404652724964
20,Sports,21.31,0.7798453951511436
21,Books,37.51,0.9629920038589946
22,Home,72.87,0.6326218931339481
23,Sports,26.49,0.30096356694681625
24,Electronics,36.49,0.7709842925321355
25,Electronics,13.4,0.6209155177674771
26,Books,53.65,0.8524146591986477
27,Sports,90.94,0.5943958592285453
28,Home,22.88,0.02458691645880151
29,Books,26.45,0.8187856433570937
30,Books,58.17,0.6832953766065052
31,Clothing,31.3,0.9443036349578299
32,Books,17.95,0.4513870243296755
33,Sports,19.87,0.0823810456158427
34,Home,47.19,0.6545112142811352
35,Books,13.15,0.32074274043812745
36,Clothing,24.94,0.2131047040250833
37,Electronics,17.71,0.864358249839637
38,Books,68.16,0.9681934279147217
39,Electronics,39.31,0.770921844644052
40,Clothing,41.61,0.7610239909429989
41,Books,23.93,0.9118360349599111
42,Clothing,52.91,0.616650314520738
43,Electronics,16.23,0.5584126725831979
44,Electronics,44.84,0.16082546907819006
45,Sports,50.42,0.31036195892357377
46,Sports,23.9,0.14958064266756577
47,Sports,30.37,0.4799388347171235
48,Books,23.47,0.6949818861265425
49,Electronics,52.98,0.14592207403514545
50,Home,50.55,0.9866625932671464
51,Home,43.05,0.00977084741918366
52,Home,80.71,0.0724162721463415
53,Electronics,29.27,0.033203108791366565
54,Home,23.55,0.35780135092827137
55,Clothing,52.44,0.041183495279271676
56,Home,43.65,0.10456784033440025
57,Books,77.54,0.6129441748656059
58,Electronics,66.13,0.7090605194509164
59,Clothing,62.34,0.612257985881158
60,Books,43.8,0.8948166560605276
61,Home,65.09,0.48090383144898485
62,Electronics,41.77,0.16399948098949724
63,Books,45.84,0.6502941858734539
64,Electronics,72.51,0.8717835665922017
65,Clothing,27.75,0.7442790655949556
66,Sports,12.02,0.7896985071424791
67,Books,17.19,0.5424786357193675
68,Books,60.29,0.6503256863469369
69,Clothing,16.7,0.4183997886676527
70,Electronics,26.13,0.8404524062769335
71,Electronics,40.43,0.742706521199981
72,Home,45.77,0.6287648182059451
73,Home,15.17,0.7252576604151365
74,Home,90.1,0.8734232380816606
75,Clothing,44.7,0.9921333163406724
76,Clothing,58.37,0.912363345616691
77,Home,23.66,0.8359980637812094
78,Electronics,10.57,0.1315676851272598
79,Home,38.94,0.4922778564480348
80,Home,28.62,0.4050207990803215
81,Electronics,23.5,0.6521232455304379
82,Electronics,38.01,0.9694123223352875
83,Clothing,78.13,0.396659776343562
84,Books,71.44,0.8837096696607526
85,Clothing,87.84,0.1457565682447517
86,Sports,24.66,0.2487142725876299
87,Books,17.32,0.6055381576448828
88,Sports,15.54,0.5335119252996956
89,Electronics,40.08,0.5853543643967521
90,Home,41.06,0.5399058395022125
91,Home,31.95,0.531169528001032
92,Home,32.5,0.05169683724152696
93,Electronics,31.02,0.9338750175279049
94,Sports,19.74,0.10330895712401567
95,Books,52.36,0.4547398556338591
96,Books,39.38,0.4888465802569202
97,Home,19.44,0.13271465381927738
98,Home,34.67,0.7046807627366467
99,Clothing,22.96,0.18834908376560144
100,Sports,42.64,0.44375021930457115
101,Sports,31.46,0.24414729042237426
102,Clothing,32.67,0.8689049844787182
103,Electronics,57.56,0.21567515239771717
104,Sports,59.95,0.6669715169909073
105,Electronics,38.53,0.9994137257706666
106,Electronics,22.71,0.8664386675276454
107,Electronics,38.89,0.5670162609866678
108,Electronics,40.89,0.10910963176574973
109,Clothing,14.26,0.6675933855635847
110,Clothing,20.76,0.7622851347766157
111,Electronics,49.15,0.3756722518817265
112,Electronics,27.23,0.32838122788508106
113,Electronics,17.48,0.6954672066898622
114,Home,14.56,0.5484997216514768
115,Electronics,24.06,0.22726962726315147
116,Clothing,17.09,0.587061707701151
117,Clothing,33.16,0.5423636649797383
118,Clothing,74.46,0.47918187762973097
119,Sports,34.63,0.24606965879799825
120,Home,18.34,0.6079050927934446
121,Clothing,36.22,0.8223934188170581
122,Books,82.3,0.00756287497814212
123,Sports,29.19,0.9270345447963066
124,Home,40.29,0.9344360268055143
125,Books,32.56,0.25677656772050794
126,Home,20.59,0.6700960346109417
127,Sports,36.23,0.31130769915600365
128,Home,66.42,0.7176357859086295
129,Clothing,24.49,0.12188609333694755
130,Books,14.98,0.12322265417216605
131,Home,34.91,0.7090462617224327
132,Electronics,17.0,0.5673122196289035
133,Clothing,30.82,0.08703896258765864
134,Electronics,49.31,0.3735096830383876
135,Sports,41.93,0.6016118201463312
