Timestamp,SourceIP,DestIP,Protocol,PacketSize,Duration,BytesSent,BytesReceived,NumPackets,ErrorRate,TimeOfDay,AnomalyType
2024-01-01 00:00:00,5332196,4929028,DNS,190.3,0.775,1845.6,11371.3,15,0.0037,9.95,None
2024-01-01 00:00:05,1137497,1371385,DNS,138.5,0.217,1066.3,5448.6,8,0.0346,22.32,None
2024-01-01 00:00:10,8766697,1995916,HTTP,205.2,0.149,4924.6,22945.0,12,0.0059,22.28,None
2024-01-01 00:00:15,6097396,1444926,UDP,317.8,0.198,540.8,3875.5,14,0.0189,17.95,None
2024-01-01 00:00:20,2871728,1423229,HTTP,132.0,1.749,2280.5,2212.3,14,0.0158,14.21,None
2024-01-01 00:00:25,4463757,3219952,TCP,132.0,0.106,231.9,18257.3,13,0.0059,16.58,None
2024-01-01 00:00:30,2119481,8687729,UDP,326.9,0.822,783.4,5398.3,10,0.0485,6.07,None
2024-01-01 00:00:35,4454840,5312926,DNS,217.8,2.798,1240.0,5904.6,11,0.0184,11.72,None
2024-01-01 00:00:40,1902100,2604971,TCP,117.4,0.697,8926.0,4328.9,11,0.0066,12.87,None
2024-01-01 00:00:45,7213371,6959035,DNS,194.7,2.882,5931.9,5050.2,15,0.0037,1.53,None
2024-01-01 00:00:50,4120939,4028218,TCP,117.7,2.737,1713.1,32959.5,13,0.0008,20.79,None
2024-01-01 00:00:55,2351166,2130634,UDP,117.6,0.564,6181.8,42723.3,13,0.0063,10.96,None
2024-01-01 00:01:00,4096177,8697271,HTTP,167.5,2.61,7241.8,48775.3,11,0.0045,21.57,None
2024-01-01 00:01:05,9747536,9365607,UDP,57.0,2.755,2538.5,24103.7,12,0.0124,9.36,None
2024-01-01 00:01:10,9940815,5941830,HTTP,62.6,1.013,746.7,12916.6,12,0.0002,9.81,None
2024-01-01 00:01:15,8691631,1686719,UDP,112.0,0.473,2421.4,1934.7,12,0.0178,5.86,None
2024-01-01 00:01:20,3391387,3782710,TCP,89.4,1.473,2703.0,6717.5,8,0.0054,15.46,None
2024-01-01 00:01:25,5337591,9665827,UDP,173.7,5.087,869.2,70035.3,13,0.0063,13.16,None
2024-01-01 00:01:30,4155025,2495731,HTTP,94.3,2.041,4302.9,5241.6,16,0.002,21.91,None
2024-01-01 00:01:35,5740145,2378708,HTTP,73.2,0.38,3943.5,36832.8,8,0.0277,10.3,None
2024-01-01 00:01:40,6372544,5391901,TCP,308.8,2.296,4652.0,8561.5,8,0.0051,15.55,None
2024-01-01 00:01:45,1180475,4105143,TCP,132.6,1.114,3939.9,556.6,12,0.0185,16.98,None
2024-01-01 00:01:50,1675940,7697606,TCP,153.5,1.791,6184.8,15374.8,8,0.0027,7.68,None
2024-01-01 00:01:55,6565259,6207753,HTTP,72.8,2.649,2491.6,28746.0,7,0.001,21.14,None
2024-01-01 00:02:00,9935732,3063866,DNS,113.0,1.447,3647.5,7715.6,8,0.0101,9.14,None
2024-01-01 00:02:05,9766140,1169918,UDP,156.9,3.364,2002.7,27807.2,10,0.0416,15.3,None
2024-01-01 00:02:10,8318028,2206294,DNS,83.5,2.561,1661.5,1528.7,7,0.0104,14.78,None
2024-01-01 00:02:15,5181289,7622392,TCP,179.1,1.909,11364.5,2027.3,18,0.0094,10.11,None
2024-01-01 00:02:20,9149165,9277788,DNS,109.9,0.327,386.2,9945.4,5,0.0058,4.4,None
2024-01-01 00:02:25,2757392,5813327,DNS,128.3,3.615,7163.5,13057.5,9,0.0033,14.22,None
2024-01-01 00:02:30,8982584,4417437,HTTP,109.9,5.495,1602.7,31463.4,10,0.0056,9.01,None
2024-01-01 00:02:35,4681065,2379003,TCP,374.7,0.295,1408.1,15350.8,15,0.0016,9.1,None
2024-01-01 00:02:40,9493927,5042715,HTTP,147.4,1.34,3872.2,2456.2,12,0.003,11.83,None
2024-01-01 00:02:45,5754173,6445780,UDP,87.5,0.599,672.1,10027.1,3,0.0067,16.25,None
2024-01-01 00:02:50,7515883,8805313,DNS,223.9,2.809,1318.1,14775.5,13,0.0016,17.51,None
2024-01-01 00:02:55,8938156,1365197,TCP,80.6,2.558,1275.2,1243.6,11,0.0157,10.25,None
2024-01-01 00:03:00,5611909,8110979,HTTP,164.8,0.304,2388.9,7757.1,12,0.0001,2.88,None
2024-01-01 00:03:05,3382357,1098146,HTTP,55.7,4.192,1333.9,5793.1,8,0.0039,19.0,None
2024-01-01 00:03:10,1762839,1977715,UDP,76.4,0.399,14781.3,4210.4,13,0.0073,16.07,None
2024-01-01 00:03:15,2274324,8123393,TCP,163.8,3.192,17980.0,13343.4,9,0.0264,19.22,None
